"Authors","Author full names","Author(s) ID","Title","Year","Source title","Cited by","Link","Affiliations","Authors with affiliations","Author Keywords","Index Keywords","Funding Details","Sponsors","Conference name","Conference date","Conference location","Conference code"
"Webster R.K.; Brooks S.K.; Smith L.E.; Woodland L.; Wessely S.; Rubin G.J.","Webster, R.K. (57192089874); Brooks, S.K. (49460937800); Smith, L.E. (56988181100); Woodland, L. (35306052300); Wessely, S. (7102849907); Rubin, G.J. (7201409301)","57192089874; 49460937800; 56988181100; 35306052300; 7102849907; 7201409301","How to improve adherence with quarantine: rapid review of the evidence","2020","Public Health","238","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083482287&doi=10.1016%2fj.puhe.2020.03.007&partnerID=40&md5=2ce9d419e7de705f2e33da92f702a2bc","Department of Psychology, University of Sheffield, United Kingdom; King's College London, Department of Psychological Medicine, Cutcombe Road, London, SE5 9RJ, United Kingdom","Webster R.K., Department of Psychology, University of Sheffield, United Kingdom; Brooks S.K., King's College London, Department of Psychological Medicine, Cutcombe Road, London, SE5 9RJ, United Kingdom; Smith L.E., King's College London, Department of Psychological Medicine, Cutcombe Road, London, SE5 9RJ, United Kingdom; Woodland L., King's College London, Department of Psychological Medicine, Cutcombe Road, London, SE5 9RJ, United Kingdom; Wessely S., King's College London, Department of Psychological Medicine, Cutcombe Road, London, SE5 9RJ, United Kingdom; Rubin G.J., King's College London, Department of Psychological Medicine, Cutcombe Road, London, SE5 9RJ, United Kingdom","Adherence; Compliance; Infectious disease outbreak; Quarantine","Coronavirus Infections; Culture; Disease Outbreaks; Guideline Adherence; Health Knowledge, Attitudes, Practice; Humans; Pandemics; Pneumonia, Viral; Public Health; Quarantine; Social Norms; Sociological Factors; Time Factors; Coronavirus; COVID-19; disease control; disease incidence; disease prevalence; health geography; health services; infectious disease; infectivity; literature review; medical geography; public health; respiratory disease; service provision; viral disease; attitude to illness; coronavirus disease 2019; decision making; epidemic; evidence based medicine; factor analysis; financial management; food availability; human; infection prevention; infection risk; medical parameters; personal needs; protocol compliance; public health service; quarantine; Review; risk factor; social behavior; social norm; systematic review; attitude to health; Coronavirus infection; cultural anthropology; epidemic; pandemic; psychology; public health; quarantine; social aspects and related phenomena; time factor; virus pneumonia","National Institute for Health Research, NIHR; University of East Anglia, UEA; Newcastle University; Public Health England, PHE","","","","",""
"Vaughan L.","Vaughan, Laura (57173841200)","57173841200","The spatial morphology of synagogue visibility as a measure of Jewish acculturation in late nineteenth-century London","2020","Urban Morphology","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091421108&partnerID=40&md5=024ed839f257c29e5ae54398f5ef2a5d","Space Syntax Laboratory, Bartlett School of Architecture, University College London, 22 Gordon Street, London, WC1E 6BT, United Kingdom","Vaughan L., Space Syntax Laboratory, Bartlett School of Architecture, University College London, 22 Gordon Street, London, WC1E 6BT, United Kingdom","Immigration; Isovists; London; Religion; Synagogues; Visibility","Camden [London]; England; London [England]; Soho; United Kingdom; comparative study; cultural identity; immigration; nineteenth century; religion; spatial analysis; urban morphology","","","","","",""
"Mills M.; Speake J.","Mills, Mary (57222362978); Speake, Janet (6603785459)","57222362978; 6603785459","Spaces of affectivity innovating interdisciplinary discourse in open, “free” space","2021","Kritika Kultura","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102460025&partnerID=40&md5=dcabfc57182ecfcead2623a1a7e399d6","University of Manchester, United Kingdom; Liverpool Hope University, United Kingdom","Mills M., University of Manchester, United Kingdom; Speake J., Liverpool Hope University, United Kingdom","Cross-disciplinarity; Dialectics; Geohumanities; Identity; Spatiality; Third space","","","","","","",""
"Bicudo da Silva R.F.; Millington J.D.A.; Moran E.F.; Batistella M.; Liu J.","Bicudo da Silva, Ramon Felipe (49862903000); Millington, James D.A. (8248988800); Moran, Emilio F. (7202641088); Batistella, Mateus (6508328264); Liu, Jianguo (57202270607)","49862903000; 8248988800; 7202641088; 6508328264; 57202270607","Three decades of land-use and land-cover change in mountain regions of the Brazilian Atlantic Forest","2020","Landscape and Urban Planning","38","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090846637&doi=10.1016%2fj.landurbplan.2020.103948&partnerID=40&md5=29fb8df91fbf2b2667fc5e47b16f5e09","Center for Systems Integration and Sustainability, Department of Fisheries and Wildlife, Michigan State University, United States; Center for Environmental Studies and Research, State University of Campinas, Brazil; Department of Geography, King's College London, United Kingdom; Center for Global Change and Earth Observations, Michigan State University, United States; Embrapa Agricultural Informatics, Brazilian Agricultural Research Corporation, Brazil","Bicudo da Silva R.F., Center for Systems Integration and Sustainability, Department of Fisheries and Wildlife, Michigan State University, United States, Center for Environmental Studies and Research, State University of Campinas, Brazil; Millington J.D.A., Department of Geography, King's College London, United Kingdom; Moran E.F., Center for Global Change and Earth Observations, Michigan State University, United States; Batistella M., Center for Environmental Studies and Research, State University of Campinas, Brazil, Embrapa Agricultural Informatics, Brazilian Agricultural Research Corporation, Brazil; Liu J., Center for Systems Integration and Sustainability, Department of Fisheries and Wildlife, Michigan State University, United States","Environmental change; Fragmentation; Landscape; Patch metrics; Tropical forest","Atlantic Forest; Brazil; biodiversity; biome; conservation status; land cover; land use change; landscape ecology; mountain region; population pressure; rural population; thematic mapping; urban growth; vegetation type","Center for Environmental Studies and Research; Center for Systems Integration and Sustainability of Michigan State University; National Science Foundation, NSF, (1924111)","","","","",""
"Hitchen E.","Hitchen, Esther (57205705199)","57205705199","The affective life of austerity: uncanny atmospheres and paranoid temporalities; [Vie affective de l’austérité: atmosphères étranges et temporalités paranoïaques]; [La vida afectiva de la austeridad: ambientes extraños y temporalidades paranoicas]","2021","Social and Cultural Geography","61","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061194665&doi=10.1080%2f14649365.2019.1574884&partnerID=40&md5=423d1a66b0511898fac4bf06030681a9","Department of Geography, Durham University, Durham, United Kingdom","Hitchen E., Department of Geography, Durham University, Durham, United Kingdom","affective atmospheres; ambientes afectivos; atmosphères affectives; austeridad; Austerity; austérité; bibliotecas públicas; bibliothèques publiques; everyday life; extraño; paranoia; paranoia; paranoïa; public libraries; quotidien; uncanny; vida cotidiana; étrange","conceptual framework; cultural geography; ethnography; fiscal policy; public sector; spatiotemporal analysis","Economic and Social Research Council, ESRC, (ES / J500082 / 1); University of Melbourne, UNIMELB","","","","",""
"Ismail D.K.B.; Singh D.","Ismail, Dhouha Kbaier Ben (35743351500); Singh, Deep (57219985501)","35743351500; 57219985501","Methodology to Build Radio Cartography of Wi-Fi Coverage","2021","Advances in Intelligent Systems and Computing","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096418285&doi=10.1007%2f978-981-15-5856-6_28&partnerID=40&md5=71a4e395f850965f31c2edbc32536410","Cyber Research Institute, University of Wolverhampton, Wolverhampton, United Kingdom; Satisnet, Luton, United Kingdom","Ismail D.K.B., Cyber Research Institute, University of Wolverhampton, Wolverhampton, United Kingdom; Singh D., Satisnet, Luton, United Kingdom","Access point; Cartography; Data rate; Heatmap; LAN; Packet loss; Received signal strength indicator; Wi-Fi","Maps; Quality of service; Spectrum analysis; Wireless local area networks (WLAN); Access point (APs); Cost efficiency; Critical analysis; Network deployment; Propagation environment; Quality of Service parameters; Radio frequency spectrum; Voice and data; Wi-Fi","","","5th International Congress on Information and Communication Technology, ICICT 2020","20 February 2020 through 21 February 2020","London","250629"
"Mohd Najib N.E.; Kanniah K.D.; Cracknell A.P.; Yu L.","Mohd Najib, Nazarin Ezzaty (57204945476); Kanniah, Kasturi Devi (6503862357); Cracknell, Arthur P. (7006499081); Yu, Le (55277716700)","57204945476; 6503862357; 7006499081; 55277716700","Synergy of active and passive remote sensing data for effective mapping of oil palm plantation in Malaysia","2020","Forests","20","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089804027&doi=10.3390%2fF11080858&partnerID=40&md5=df850d86ad7d0c1110a44dc42ebab858","Faculty of Built Environment and Surveying, Universiti Teknologi Malaysia, UTM Skudai, 81310, Malaysia; Division of Electronic Engineering and Physics, University of Dundee, Nethergate, Dundee, DDI 4HN, United Kingdom; Department of Earth System Science, Tsinghua University, Beijing, 100084, China","Mohd Najib N.E., Faculty of Built Environment and Surveying, Universiti Teknologi Malaysia, UTM Skudai, 81310, Malaysia; Kanniah K.D., Faculty of Built Environment and Surveying, Universiti Teknologi Malaysia, UTM Skudai, 81310, Malaysia; Cracknell A.P., Division of Electronic Engineering and Physics, University of Dundee, Nethergate, Dundee, DDI 4HN, United Kingdom; Yu L., Department of Earth System Science, Tsinghua University, Beijing, 100084, China","ALOS PALSAR 2; Landsat; Malaysia; Mapping; Oil palm; Sentinel","Bands; Data; Farm Crops; Oil; Polarization; Remote Sensing; Malaysia; Elaeis; Crops; Polarization; Remote sensing; Space-based radar; Synthetic aperture radar; Active and passive remote sensing; Area classification; Landsat Thematic Mapper; Malaysian palm oil boards; Microwave remote sensing; Multisensor remote sensing; Oil palm plantations; Overall accuracies; accuracy assessment; ALOS; forest dynamics; forest management; PALSAR; remote sensing; satellite data; satellite imagery; sustainability; Palm oil","Alaska Satellite Facility; Department of Agriculture and Malaysian Palm Oil Board; WNI WXBUNKA Foundation; Ministry of Higher Education, Malaysia, MOHE; Universiti Teknologi Malaysia, UTM, (Q.J130000.2452.08G51, R.J130000.7352.4B406, R.J130000.7852.5F216)","","","","",""
"Bala’awi F.; Mubaideen S.; Smithies J.; Flohr P.; Esposito A.; Palmer C.; Idwan S.","Bala’awi, Fadi (55249734500); Mubaideen, Shatha (57194624647); Smithies, James (26034632000); Flohr, Pascal (55202209100); Esposito, Alessandra (57226643644); Palmer, Carol (7403082142); Idwan, Sahar (24464374000)","55249734500; 57194624647; 26034632000; 55202209100; 57226643644; 7403082142; 24464374000","The MaDiH (مديح): Mapping Digital Cultural Heritage in Jordan, Opportunities and Limitations","2021","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112173099&doi=10.1007%2f978-3-030-77411-0_2&partnerID=40&md5=2a3f76697c3e86c518b77dd83bffc8fe","The Hashemite University, Zarqa, Jordan; The Council for British Research in the Levant, Amman, Jordan; King’s Digital Lab, King’s College London, London, United Kingdom; EAMENA Project, School of Archaeology, University of Oxford, Oxford, United Kingdom","Bala’awi F., The Hashemite University, Zarqa, Jordan; Mubaideen S., The Council for British Research in the Levant, Amman, Jordan; Smithies J., King’s Digital Lab, King’s College London, London, United Kingdom; Flohr P., EAMENA Project, School of Archaeology, University of Oxford, Oxford, United Kingdom; Esposito A., King’s Digital Lab, King’s College London, London, United Kingdom; Palmer C., The Council for British Research in the Levant, Amman, Jordan; Idwan S., The Hashemite University, Zarqa, Jordan","Communication strategy; Datasets; Digital Cultural Heritage; Documentation; Infrastructure and digital tools; Jordan; MaDiH CKAN repository","Information management; Mapping; Open source software; Open systems; Collaborative programs; Communication strategy; Dataset; Digital cultural heritages; Digital humanities; Digital tools; Documentation; Infrastructure tools; Jordan; MaDiH CKAN repository; Digital devices","","","9th International Conference on Culture and Computing, C and C 2021, Held as Part of the 23rd HCI International Conference, HCII 2021","24 July 2021 through 29 July 2021","Virtual, Online","262109"
"Cole T.; Giordano A.","Cole, Tim (7201769565); Giordano, Alberto (14019461400)","7201769565; 14019461400","Geographies of Holocaust rescue: Spatial patterns and social geographies of Jewish rescue in Budapest, 1944","2021","Journal of Historical Geography","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100048041&doi=10.1016%2fj.jhg.2020.12.002&partnerID=40&md5=590c45ca45b3f3245bfcf994c2920530","History, School of Humanities, University of Bristol, 13 Woodland Road, Bristol, BS8 1TB, United Kingdom; Department of Geography, Texas State University, San Marcos, 78666, TX, United States","Cole T., History, School of Humanities, University of Bristol, 13 Woodland Road, Bristol, BS8 1TB, United Kingdom; Giordano A., Department of Geography, Texas State University, San Marcos, 78666, TX, United States","Budapest; Distance; Holocaust rescue; Mixed methods; Raoul Wallenberg; Topography and topology","Budapest; Hungary; Sweden; database; GIS; historical geography; social history; socioeconomic conditions; spatial analysis; topography; twentieth century","National Science Foundation or the Toni Schiff Memorial Fund; Toni Schiff Memorial Fund; National Science Foundation, NSF, (0820487)","","","","",""
"McEwan K.; Ferguson F.J.; Richardson M.; Cameron R.","McEwan, Kirsten (12771004200); Ferguson, Fiona J. (57207357902); Richardson, Miles (7401976411); Cameron, Ross (56224083600)","12771004200; 57207357902; 7401976411; 56224083600","The good things in urban nature: A thematic framework for optimising urban planning for nature connectedness","2020","Landscape and Urban Planning","45","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074468503&doi=10.1016%2fj.landurbplan.2019.103687&partnerID=40&md5=bae030668d2a8aae81c4c8ab899a1c40","College of Health and Social Care, University of Derby, United Kingdom; College of Life and Natural Sciences, University of Derby, United Kingdom; Department of Landscape, University of Sheffield, United Kingdom","McEwan K., College of Health and Social Care, University of Derby, United Kingdom; Ferguson F.J., College of Life and Natural Sciences, University of Derby, United Kingdom; Richardson M., College of Life and Natural Sciences, University of Derby, United Kingdom; Cameron R., Department of Landscape, University of Sheffield, United Kingdom","","greenspace; mental health; mobile phone; nature-society relations; software; thematic mapping; urban ecosystem; urban planning","AHRC & Defra; Biotechnology and Biological Sciences Research Council, BBSRC; Economic and Social Research Council, ESRC; Natural Environment Research Council, NERC, (NE/N013565/1); National Eye Research Centre, NERC","","","","",""
"Blencowe H.; Bottecchia M.; Kwesiga D.; Akuze J.; Haider M.M.; Galiwango E.; Dzabeng F.; Fisker A.B.; Enuameh Y.A.K.; Geremew B.M.; Nareeba T.; Woodd S.; Beedle A.; Peven K.; Cousens S.; Waiswa P.; Lawn J.E.; Byass P.; Tollman S.M.; Godefay H.; Blencowe H.; Yargawa J.; Martins J.S.D.; Rodrigues A.; Thysen S.M.; Biks G.A.; Abebe S.M.; Ayele T.A.; Bisetegn T.A.; Delele T.G.; Gelaye K.A.; Gezie L.D.; Melese T.; Mengistu M.Y.; Tesega A.K.; Yitayew T.A.; Kasasa S.; Gyezaho C.; Kaija J.; Kajungu D.; Natukwatsa D.; Tusubira V.; Asante K.P.; Etego S.A.; Manu G.; Manu A.A.; Nettey O.E.; Newton S.K.; Owusu-Agyei S.; Tawiah C.; Zandoh C.; Alam N.; Delwar N.; Haider M.M.; Imam M.A.; Mahmud K.; Baschieri A.; Gordeev V.S.; Hardy V.P.; Machiyama K.","Blencowe, Hannah (24400934700); Bottecchia, Matteo (57221961709); Kwesiga, Doris (55839222300); Akuze, Joseph (56414884400); Haider, M. Moinuddin (57215034727); Galiwango, Edward (6503917792); Dzabeng, Francis (57194577067); Fisker, Ane B. (15131222100); Enuameh, Yeetey Akpe Kwesi (58578027400); Geremew, Bisrat Misganaw (57207316944); Nareeba, Tryphena (57215780774); Woodd, Susannah (56023175400); Beedle, Alexandra (57211693175); Peven, Kimberly (57213198892); Cousens, Simon (7005813800); Waiswa, Peter (24598301700); Lawn, Joy E. (6602174490); Byass, Peter (57217185181); Tollman, Stephen M. (7004554639); Godefay, Hagos (56649354700); Blencowe, Hannah (57220370499); Yargawa, Judith (56659514300); Martins, Justiniano S. D. (57210284175); Rodrigues, Amabelia (7202269957); Thysen, Sanne M. (56389571900); Biks, Gashaw Andargie (55602077000); Abebe, Solomon Mokonnen (58420681400); Ayele, Tadesse Awoke (55431232600); Bisetegn, Telake Azale (55123209900); Delele, Tadess Guadu (57207317107); Gelaye, Kassahun Alemu (55551589600); Gezie, Lemma Derseh (56734487000); Melese, Tesfahun (55808732600); Mengistu, Mezgebu Yitayal (55433037000); Tesega, Adane Kebede (57212112579); Yitayew, Temesgen Azemeraw (57207317135); Kasasa, Simon (9535898300); Gyezaho, Collins (57215771101); Kaija, Judith (25947549100); Kajungu, Dan (57213110729); Natukwatsa, Davis (57207322296); Tusubira, Valerie (57219933084); Asante, Kwaku P. (12800509100); Etego, Seeba Amenga (6504468344); Manu, Grace (57190136101); Manu, Alexander A. (25923488300); Nettey, Obed Ernest (55753115000); Newton, Sam K. (16028768400); Owusu-Agyei, Seth (6602311348); Tawiah, Charlotte (24339583200); Zandoh, Charles (12785523900); Alam, Nurul (7007131448); Delwar, Nafisa (57215780814); Haider, M. Moinuddin (57221969508); Imam, Md. Ali (57221962418); Mahmud, Kaiser (57215769920); Baschieri, Angela (58913905600); Gordeev, Vladimir S. (35483600600); Hardy, Victoria Ponce (57215770303); Machiyama, Kazuyo (56203955300)","24400934700; 57221961709; 55839222300; 56414884400; 57215034727; 6503917792; 57194577067; 15131222100; 58578027400; 57207316944; 57215780774; 56023175400; 57211693175; 57213198892; 7005813800; 24598301700; 6602174490; 57217185181; 7004554639; 56649354700; 57220370499; 56659514300; 57210284175; 7202269957; 56389571900; 55602077000; 58420681400; 55431232600; 55123209900; 57207317107; 55551589600; 56734487000; 55808732600; 55433037000; 57212112579; 57207317135; 9535898300; 57215771101; 25947549100; 57213110729; 57207322296; 57219933084; 12800509100; 6504468344; 57190136101; 25923488300; 55753115000; 16028768400; 6602311348; 24339583200; 12785523900; 7007131448; 57215780814; 57221969508; 57221962418; 57215769920; 58913905600; 35483600600; 57215770303; 56203955300","Stillbirth outcome capture and classification in population-based surveys: EN-INDEPTH study","2021","Population Health Metrics","12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100758412&doi=10.1186%2fs12963-020-00239-8&partnerID=40&md5=6432663a572f6454bc79f4f58d419aa6","Maternal, Adolescent, Reproductive & Child Health (MARCH) Centre, London School of Hygiene & Tropical Medicine, London, United Kingdom; Department of Health Policy, Planning and Management, Makerere University School of Public Health, Kampala, Uganda; Centre of Excellence for Maternal Newborn and Child Health Research, Makerere University, Kampala, Uganda; International Maternal & Child Health, Dept. of Women and Children’s Health, Uppsala University, Uppsala, Sweden; Health Systems and Population Studies Division, icddr,b, Dhaka, Bangladesh; IgangaMayuge Health and Demographic Surveillance System, Makerere University Centre for Health and Population Research, Makerere, Uganda; Kintampo Health Research Centre, Kintampo, Ghana; Bandim Health Project, Bissau, Guinea-Bissau; Research Centre for Vitamins and Vaccines, Statens Serum Institut, Copenhagen, Denmark; Department of Clinical Research, Open Patient data Explorative Network (OPEN), University of Southern Denmark, Odense, Denmark; Department of Epidemiology and Biostatistics, Kwame Nkrumah University of Science and Technology, Kumasi, Ghana; Department of Epidemiology and Biostatistics, Institute of Public Health, University of Gondar, Gondar, Ethiopia; Centre of Excellence for Maternal Newborn and Child Health Research, Makerere University, Kampala, Uganda; Department of Public Health Sciences, Karolinska Institutet, Stockholm, Sweden","Blencowe H., Maternal, Adolescent, Reproductive & Child Health (MARCH) Centre, London School of Hygiene & Tropical Medicine, London, United Kingdom; Bottecchia M., Maternal, Adolescent, Reproductive & Child Health (MARCH) Centre, London School of Hygiene & Tropical Medicine, London, United Kingdom; Kwesiga D., Department of Health Policy, Planning and Management, Makerere University School of Public Health, Kampala, Uganda, Centre of Excellence for Maternal Newborn and Child Health Research, Makerere University, Kampala, Uganda, International Maternal & Child Health, Dept. of Women and Children’s Health, Uppsala University, Uppsala, Sweden; Akuze J., Maternal, Adolescent, Reproductive & Child Health (MARCH) Centre, London School of Hygiene & Tropical Medicine, London, United Kingdom, Department of Health Policy, Planning and Management, Makerere University School of Public Health, Kampala, Uganda, Centre of Excellence for Maternal Newborn and Child Health Research, Makerere University, Kampala, Uganda; Haider M.M., Health Systems and Population Studies Division, icddr,b, Dhaka, Bangladesh; Galiwango E., IgangaMayuge Health and Demographic Surveillance System, Makerere University Centre for Health and Population Research, Makerere, Uganda; Dzabeng F., Kintampo Health Research Centre, Kintampo, Ghana; Fisker A.B., Bandim Health Project, Bissau, Guinea-Bissau, Research Centre for Vitamins and Vaccines, Statens Serum Institut, Copenhagen, Denmark, Department of Clinical Research, Open Patient data Explorative Network (OPEN), University of Southern Denmark, Odense, Denmark; Enuameh Y.A.K., Kintampo Health Research Centre, Kintampo, Ghana, Department of Epidemiology and Biostatistics, Kwame Nkrumah University of Science and Technology, Kumasi, Ghana; Geremew B.M., Department of Epidemiology and Biostatistics, Institute of Public Health, University of Gondar, Gondar, Ethiopia; Nareeba T., IgangaMayuge Health and Demographic Surveillance System, Makerere University Centre for Health and Population Research, Makerere, Uganda; Woodd S., Maternal, Adolescent, Reproductive & Child Health (MARCH) Centre, London School of Hygiene & Tropical Medicine, London, United Kingdom; Beedle A., Maternal, Adolescent, Reproductive & Child Health (MARCH) Centre, London School of Hygiene & Tropical Medicine, London, United Kingdom; Peven K., Maternal, Adolescent, Reproductive & Child Health (MARCH) Centre, London School of Hygiene & Tropical Medicine, London, United Kingdom; Cousens S., Maternal, Adolescent, Reproductive & Child Health (MARCH) Centre, London School of Hygiene & Tropical Medicine, London, United Kingdom; Waiswa P., Department of Health Policy, Planning and Management, Makerere University School of Public Health, Kampala, Uganda, Centre of Excellence for Maternal Newborn and Child Health Research, Makerere University, Kampala, Uganda, Department of Public Health Sciences, Karolinska Institutet, Stockholm, Sweden; Lawn J.E., Maternal, Adolescent, Reproductive & Child Health (MARCH) Centre, London School of Hygiene & Tropical Medicine, London, United Kingdom; Byass P.; Tollman S.M.; Godefay H.; Blencowe H.; Yargawa J.; Martins J.S.D.; Rodrigues A.; Thysen S.M.; Biks G.A.; Abebe S.M.; Ayele T.A.; Bisetegn T.A.; Delele T.G.; Gelaye K.A.; Gezie L.D.; Melese T.; Mengistu M.Y.; Tesega A.K.; Yitayew T.A.; Kasasa S.; Gyezaho C.; Kaija J.; Kajungu D.; Natukwatsa D.; Tusubira V.; Asante K.P.; Etego S.A.; Manu G.; Manu A.A.; Nettey O.E.; Newton S.K.; Owusu-Agyei S.; Tawiah C.; Zandoh C.; Alam N.; Delwar N.; Haider M.M.; Imam M.A.; Mahmud K.; Baschieri A.; Gordeev V.S.; Hardy V.P.; Machiyama K.","Classification; Measurement; Stillbirth; Survey","Birth Weight; Child; Cross-Sectional Studies; Female; Gestational Age; Humans; Infant; Infant, Newborn; Perinatal Death; Pregnancy; Stillbirth; Bangladesh; Ethiopia; Ghana; Guinea-Bissau; Uganda; child health; classification; data assimilation; health survey; investment incentive; population structure; pregnancy; questionnaire survey; thematic mapping; adolescent; adult; antepartum; Article; baby; Bangladesh; birth; birth weight; classification; congenital malformation; controlled study; cross-sectional study; demography; Ethiopia; female; gestational age; Ghana; Guinea-Bissau; human; intrapartum; male; medical history; newborn; newborn death; population research; pregnancy; pregnancy outcome; reproduction; sex; stillbirth; thematic analysis; Uganda; child; epidemiology; infant; perinatal death","Makerere School of Public Health; Solomon Mokonnen Abebe; Children's Investment Fund Foundation, CIFF","","","","",""
"Hooker C.; Hor S.; Wyer M.; Gilbert G.L.; Jorm C.; Iedema R.","Hooker, Claire (25227245400); Hor, Suyin (55392758200); Wyer, Mary (37762566800); Gilbert, Gwendolyn L. (55668096500); Jorm, Christine (6602840869); Iedema, Rick (57217341299)","25227245400; 55392758200; 37762566800; 55668096500; 6602840869; 57217341299","Trajectories of hospital infection control: Using non-representational theory to understand and improve infection prevention and control","2020","Social Science and Medicine","11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084809189&doi=10.1016%2fj.socscimed.2020.113023&partnerID=40&md5=e6180e0660390f888731f48840e07a18","Health Humanities, Sydney Health Ethics, University of Sydney, K25 Medical Foundation Building, 2777, NSW, Australia; Centre for Health Services Management, Faculty of Health, University of Technology, Sydney, 2777, NSW, Australia; APPRISE Centre of Research Excellence, University of Sydney, 2777, NSW, Australia; The Marie Bashir Institute For Infectious Disease and Biosecurity and Sydney Health Ethics, University of Sydney; The Westmead Institute for Medical Research, University of Sydney, Westmead, 2145, NSW, Australia; Director NSW Regional Health Partners, School of Medicine and Public Health, University of Newcastle, 2777, NSW, Australia; Director of the Centre for Team-based Practice & Learning in Health Care at King's College London, United Kingdom","Hooker C., Health Humanities, Sydney Health Ethics, University of Sydney, K25 Medical Foundation Building, 2777, NSW, Australia; Hor S., Centre for Health Services Management, Faculty of Health, University of Technology, Sydney, 2777, NSW, Australia; Wyer M., APPRISE Centre of Research Excellence, University of Sydney, 2777, NSW, Australia; Gilbert G.L., The Marie Bashir Institute For Infectious Disease and Biosecurity and Sydney Health Ethics, University of Sydney; The Westmead Institute for Medical Research, University of Sydney, Westmead, 2145, NSW, Australia; Jorm C., Director NSW Regional Health Partners, School of Medicine and Public Health, University of Newcastle, 2777, NSW, Australia; Iedema R., Director of the Centre for Team-based Practice & Learning in Health Care at King's College London, United Kingdom","Hand hygiene; Health geography; Hospital acquired infection; Infection prevention and control; new materialism; Non-representational theory; Situated responsiveness; Spatial analysis; Video-reflexive ethnography","Anthropology, Cultural; Cross Infection; Health Personnel; Hospitals; Humans; Infection Control; disease control; ethnography; health worker; hospital sector; infectious disease; monitoring; theoretical study; trajectory; Article; bacterial transmission; clinical practice; ethnography; geography; hand washing; health care personnel; hospital infection; human; infection control; infection prevention; infection rate; risk assessment; teaching hospital; videorecording; cross infection; cultural anthropology; hospital","National Health and Medical Research Council of Australia; National Health and Medical Research Council, NHMRC, ($829 914, APP1009178)","","","","",""
